20250001/1;00001;10001;20001;30001;40001
20250013/5;06677;16677;26677;36677;46677
20250013/6;08343;18343;28343;38343;48343
20250013/7;50013;60013;70013;80013;90013
20250013/8;51679;61679;71679;81679;91679
20250013/9;53345;63345;73345;83345;93345
20250013/10;55011;65011;75011;85011;95011
20250013/11;56677;66677;76677;86677;96677
20250013/12;58343;68343;78343;88343;98343
20250014/1;00014;10014;20014;30014;40014
20250014/2;01680;11680;21680;31680;41680
20250014/3;03346;13346;23346;33346;43346
20250014/4;05012;15012;25012;35012;45012
20250014/5;06678;16678;26678;36678;46678
20250014/6;08344;18344;28344;38344;48344
20250014/7;50014;60014;70014;80014;90014
20250014/8;51680;61680;71680;81680;91680
20250014/9;53346;63346;73346;83346;93346
20250014/10;55012;65012;75012;85012;95012
20250014/11;56678;66678;76678;86678;96678
20250014/12;58344;68344;78344;88344;98344
20250015/1;00015;10015;20015;30015;40015
20250015/2;01681;11681;21681;31681;41681
20250015/3;03347;13347;23347;33347;43347
20250015/4;05013;15013;25013;35013;45013
20250015/5;06679;16679;26679;36679;46679
20250015/6;08345;18345;28345;38345;48345
20250015/7;50015;60015;70015;80015;90015
20250015/8;51681;61681;71681;81681;91681
20250015/9;53347;63347;73347;83347;93347
20250015/10;55013;65013;75013;85013;95013
20250015/11;56679;66679;76679;86679;96679
20250015/12;58345;68345;78345;88345;98345
20250016/1;00016;10016;20016;30016;40016
20250016/2;01682;11682;21682;31682;41682
20250016/3;03348;13348;23348;33348;43348
20250016/4;05014;15014;25014;35014;45014
20250016/5;06680;16680;26680;36680;46680
20250016/6;08346;18346;28346;38346;48346
20250016/7;50016;60016;70016;80016;90016
20250016/8;51682;61682;71682;81682;91682
20250016/9;53348;63348;73348;83348;93348
20250016/10;55014;65014;75014;85014;95014
20250016/11;56680;66680;76680;86680;96680
20250016/12;58346;68346;78346;88346;98346
20250017/1;00017;10017;20017;30017;40017
20250017/2;01683;11683;21683;31683;41683
20250017/3;03349;13349;23349;33349;43349
20250017/4;05015;15015;25015;35015;45015
20250017/5;06681;16681;26681;36681;46681
20250017/6;08347;18347;28347;38347;48347
20250017/7;50017;60017;70017;80017;90017
20250017/8;51683;61683;71683;81683;91683
20250017/9;53349;63349;73349;83349;93349
20250017/10;55015;65015;75015;85015;95015
20250017/11;56681;66681;76681;86681;96681
20250017/12;58347;68347;78347;88347;98347
20250018/1;00018;10018;20018;30018;40018
20250018/2;01684;11684;21684;31684;41684
20250018/3;03350;13350;23350;33350;43350
20250018/4;05016;15016;25016;35016;45016
20250018/5;06682;16682;26682;36682;46682
20250018/6;08348;18348;28348;38348;48348
20250018/7;50018;60018;70018;80018;90018
20250018/8;51684;61684;71684;81684;91684
20250018/9;53350;63350;73350;83350;93350
20250018/10;55016;65016;75016;85016;95016
20250018/11;56682;66682;76682;86682;96682
20250018/12;58348;68348;78348;88348;98348
20250019/1;00019;10019;20019;30019;40019
20250019/2;01685;11685;21685;31685;41685
20250019/3;03351;13351;23351;33351;43351
20250019/4;05017;15017;25017;35017;45017
20250019/5;06683;16683;26683;36683;46683
20250019/6;08349;18349;28349;38349;48349
20250019/7;50019;60019;70019;80019;90019
20250019/8;51685;61685;71685;81685;91685
20250019/9;53351;63351;73351;83351;93351
20250019/10;55017;65017;75017;85017;95017
20250019/11;56683;66683;76683;86683;96683
20250019/12;58349;68349;78349;88349;98349
20250020/1;00020;10020;20020;30020;40020
20250020/2;01686;11686;21686;31686;41686
20250020/3;03352;13352;23352;33352;43352
20250020/4;05018;15018;25018;35018;45018
20250020/5;06684;16684;26684;36684;46684
20250020/6;08350;18350;28350;38350;48350
20250020/7;50020;60020;70020;80020;90020
20250020/8;51686;61686;71686;81686;91686
20250020/9;53352;63352;73352;83352;93352
20250020/10;55018;65018;75018;85018;95018
20250020/11;56684;66684;76684;86684;96684
20250020/12;58350;68350;78350;88350;98350
20250021/1;00021;10021;20021;30021;40021
20250021/2;01687;11687;21687;31687;41687
20250021/3;03353;13353;23353;33353;43353
20250021/4;05019;15019;25019;35019;45019
20250021/5;06685;16685;26685;36685;46685
20250021/6;08351;18351;28351;38351;48351
20250021/7;50021;60021;70021;80021;90021
20250021/8;51687;61687;71687;81687;91687
20250021/9;53353;63353;73353;83353;93353
20250021/10;55019;65019;75019;85019;95019
20250021/11;56685;66685;76685;86685;96685
20250021/12;58351;68351;78351;88351;98351
20250022/1;00022;10022;20022;30022;40022
20250022/2;01688;11688;21688;31688;41688
20250022/3;03354;13354;23354;33354;43354
20250022/4;05020;15020;25020;35020;45020
20250022/5;06686;16686;26686;36686;46686
20250022/6;08352;18352;28352;38352;48352
20250022/7;50022;60022;70022;80022;90022
20250022/8;51688;61688;71688;81688;91688
20250022/9;53354;63354;73354;83354;93354
20250022/10;55020;65020;75020;85020;95020
20250022/11;56686;66686;76686;86686;96686
20250022/12;58352;68352;78352;88352;98352
20250023/1;00023;10023;20023;30023;40023
20250023/2;01689;11689;21689;31689;41689
20250023/3;03355;13355;23355;33355;43355
20250023/4;05021;15021;25021;35021;45021
20250023/5;06687;16687;26687;36687;46687
20250023/6;08353;18353;28353;38353;48353
20250023/7;50023;60023;70023;80023;90023
20250023/8;51689;61689;71689;81689;91689
20250023/9;53355;63355;73355;83355;93355
20250023/10;55021;65021;75021;85021;95021
20250023/11;56687;66687;76687;86687;96687
20250023/12;58353;68353;78353;88353;98353
20250024/1;00024;10024;20024;30024;40024
20250024/2;01690;11690;21690;31690;41690
20250024/3;03356;13356;23356;33356;43356
20250024/4;05022;15022;25022;35022;45022
20250024/5;06688;16688;26688;36688;46688
20250024/6;08354;18354;28354;38354;48354
20250024/7;50024;60024;70024;80024;90024
20250024/8;51690;61690;71690;81690;91690
20250024/9;53356;63356;73356;83356;93356
20250024/10;55022;65022;75022;85022;95022
20250024/11;56688;66688;76688;86688;96688
20250024/12;58354;68354;78354;88354;98354
20250025/1;00025;10025;20025;30025;40025
20250025/2;01691;11691;21691;31691;41691
20250025/3;03357;13357;23357;33357;43357
20250025/4;05023;15023;25023;35023;45023
20250025/5;06689;16689;26689;36689;46689
20250025/6;08355;18355;28355;38355;48355
20250025/7;50025;60025;70025;80025;90025
20250025/8;51691;61691;71691;81691;91691
20250025/9;53357;63357;73357;83357;93357
20250025/10;55023;65023;75023;85023;95023
20250025/11;56689;66689;76689;86689;96689
20250025/12;58355;68355;78355;88355;98355
20250026/1;00026;10026;20026;30026;40026
20250026/2;01692;11692;21692;31692;41692
20250026/3;03358;13358;23358;33358;43358
20250026/4;05024;15024;25024;35024;45024
20250026/5;06690;16690;26690;36690;46690
20250026/6;08356;18356;28356;38356;48356
20250026/7;50026;60026;70026;80026;90026
20250026/8;51692;61692;71692;81692;91692
20250026/9;53358;63358;73358;83358;93358
20250026/10;55024;65024;75024;85024;95024
20250026/11;56690;66690;76690;86690;96690
20250026/12;58356;68356;78356;88356;98356
20250027/1;00027;10027;20027;30027;40027
20250027/2;01693;11693;21693;31693;41693
20250027/3;03359;13359;23359;33359;43359
20250027/4;05025;15025;25025;35025;45025
20250027/5;06691;16691;26691;36691;46691
20250027/6;08357;18357;28357;38357;48357
20250027/7;50027;60027;70027;80027;90027
20250027/8;51693;61693;71693;81693;91693
20250027/9;53359;63359;73359;83359;93359
20250027/10;55025;65025;75025;85025;95025
20250027/11;56691;66691;76691;86691;96691
20250027/12;58357;68357;78357;88357;98357
20250028/1;00028;10028;20028;30028;40028
20250028/2;01694;11694;21694;31694;41694
20250028/3;03360;13360;23360;33360;43360
20250028/4;05026;15026;25026;35026;45026
20250028/5;06692;16692;26692;36692;46692
20250028/6;08358;18358;28358;38358;48358
20250028/7;50028;60028;70028;80028;90028
20250028/8;51694;61694;71694;81694;91694
20250028/9;53360;63360;73360;83360;93360
20250028/10;55026;65026;75026;85026;95026
20250028/11;56692;66692;76692;86692;96692
20250028/12;58358;68358;78358;88358;98358
20250029/1;00029;10029;20029;30029;40029
20250029/2;01695;11695;21695;31695;41695
20250029/3;03361;13361;23361;33361;43361
20250029/4;05027;15027;25027;35027;45027
20250029/5;06693;16693;26693;36693;46693
20250029/6;08359;18359;28359;38359;48359
20250029/7;50029;60029;70029;80029;90029
20250029/8;51695;61695;71695;81695;91695
20250029/9;53361;63361;73361;83361;93361
20250029/10;55027;65027;75027;85027;95027
20250029/11;56693;66693;76693;86693;96693
20250029/12;58359;68359;78359;88359;98359
20250030/1;00030;10030;20030;30030;40030
20250030/2;01696;11696;21696;31696;41696
20250030/3;03362;13362;23362;33362;43362
20250030/4;05028;15028;25028;35028;45028
20250030/5;06694;16694;26694;36694;46694
20250030/6;08360;18360;28360;38360;48360
20250030/7;50030;60030;70030;80030;90030
20250030/8;51696;61696;71696;81696;91696
20250030/9;53362;63362;73362;83362;93362
20250030/10;55028;65028;75028;85028;95028
20250030/11;56694;66694;76694;86694;96694
20250030/12;58360;68360;78360;88360;98360
20250031/1;00031;10031;20031;30031;40031
20250031/2;01697;11697;21697;31697;41697
20250031/3;03363;13363;23363;33363;43363
20250031/4;05029;15029;25029;35029;45029
20250031/5;06695;16695;26695;36695;46695
20250031/6;08361;18361;28361;38361;48361
20250031/7;50031;60031;70031;80031;90031
20250031/8;51697;61697;71697;81697;91697
20250031/9;53363;63363;73363;83363;93363
20250031/10;55029;65029;75029;85029;95029
20250031/11;56695;66695;76695;86695;96695
20250031/12;58361;68361;78361;88361;98361
20250032/1;00032;10032;20032;30032;40032
20250032/2;01698;11698;21698;31698;41698
20250032/3;03364;13364;23364;33364;43364
20250032/4;05030;15030;25030;35030;45030
20250032/5;06696;16696;26696;36696;46696
20250032/6;08362;18362;28362;38362;48362
20250032/7;50032;60032;70032;80032;90032
20250032/8;51698;61698;71698;81698;91698
20250032/9;53364;63364;73364;83364;93364
20250032/10;55030;65030;75030;85030;95030
20250032/11;56696;66696;76696;86696;96696
20250032/12;58362;68362;78362;88362;98362
20250033/1;00033;10033;20033;30033;40033
20250033/2;01699;11699;21699;31699;41699
20250033/3;03365;13365;23365;33365;43365
20250033/4;05031;15031;25031;35031;45031
20250033/5;06697;16697;26697;36697;46697
20250033/6;08363;18363;28363;38363;48363
20250033/7;50033;60033;70033;80033;90033
20250033/8;51699;61699;71699;81699;91699
20250033/9;53365;63365;73365;83365;93365
20250033/10;55031;65031;75031;85031;95031
20250033/11;56697;66697;76697;86697;96697
20250033/12;58363;68363;78363;88363;98363
20250034/1;00034;10034;20034;30034;40034
20250034/2;01700;11700;21700;31700;41700
20250034/3;03366;13366;23366;33366;43366
20250034/4;05032;15032;25032;35032;45032
20250034/5;06698;16698;26698;36698;46698
20250034/6;08364;18364;28364;38364;48364
20250034/7;50034;60034;70034;80034;90034
20250034/8;51700;61700;71700;81700;91700
20250034/9;53366;63366;73366;83366;93366
20250034/10;55032;65032;75032;85032;95032
20250034/11;56698;66698;76698;86698;96698
20250034/12;58364;68364;78364;88364;98364
20250035/1;00035;10035;20035;30035;40035
20250035/2;01701;11701;21701;31701;41701
20250035/3;03367;13367;23367;33367;43367
20250035/4;05033;15033;25033;35033;45033
20250035/5;06699;16699;26699;36699;46699
20250035/6;08365;18365;28365;38365;48365
20250035/7;50035;60035;70035;80035;90035
20250035/8;51701;61701;71701;81701;91701
20250035/9;53367;63367;73367;83367;93367
20250035/10;55033;65033;75033;85033;95033
20250035/11;56699;66699;76699;86699;96699
20250035/12;58365;68365;78365;88365;98365
20250036/1;00036;10036;20036;30036;40036
20250036/2;01702;11702;21702;31702;41702
20250036/3;03368;13368;23368;33368;43368
20250036/4;05034;15034;25034;35034;45034
20250036/5;06700;16700;26700;36700;46700
20250036/6;08366;18366;28366;38366;48366
20250036/7;50036;60036;70036;80036;90036
20250036/8;51702;61702;71702;81702;91702
20250036/9;53368;63368;73368;83368;93368
20250036/10;55034;65034;75034;85034;95034
20250036/11;56700;66700;76700;86700;96700
20250036/12;58366;68366;78366;88366;98366
20250037/1;00037;10037;20037;30037;40037
20250037/2;01703;11703;21703;31703;41703
20250037/3;03369;13369;23369;33369;43369
20250037/4;05035;15035;25035;35035;45035
20250037/5;06701;16701;26701;36701;46701
20250037/6;08367;18367;28367;38367;48367
20250037/7;50037;60037;70037;80037;90037
20250037/8;51703;61703;71703;81703;91703
20250037/9;53369;63369;73369;83369;93369
20250037/10;55035;65035;75035;85035;95035
20250037/11;56701;66701;76701;86701;96701
20250037/12;58367;68367;78367;88367;98367
20250038/1;00038;10038;20038;30038;40038
20250038/2;01704;11704;21704;31704;41704
20250038/3;03370;13370;23370;33370;43370
20250038/4;05036;15036;25036;35036;45036
20250038/5;06702;16702;26702;36702;46702
20250038/6;08368;18368;28368;38368;48368
20250038/7;50038;60038;70038;80038;90038
20250038/8;51704;61704;71704;81704;91704
20250038/9;53370;63370;73370;83370;93370
20250038/10;55036;65036;75036;85036;95036
20250038/11;56702;66702;76702;86702;96702
20250038/12;58368;68368;78368;88368;98368
20250039/1;00039;10039;20039;30039;40039
20250039/2;01705;11705;21705;31705;41705
20250039/3;03371;13371;23371;33371;43371
20250039/4;05037;15037;25037;35037;45037
20250039/5;06703;16703;26703;36703;46703
20250039/6;08369;18369;28369;38369;48369
20250039/7;50039;60039;70039;80039;90039
20250039/8;51705;61705;71705;81705;91705
20250039/9;53371;63371;73371;83371;93371
20250039/10;55037;65037;75037;85037;95037
20250039/11;56703;66703;76703;86703;96703
20250039/12;58369;68369;78369;88369;98369
20250040/1;00040;10040;20040;30040;40040
20250040/2;01706;11706;21706;31706;41706
20250040/3;03372;13372;23372;33372;43372
20250040/4;05038;15038;25038;35038;45038
20250040/5;06704;16704;26704;36704;46704
20250040/6;08370;18370;28370;38370;48370
20250040/7;50040;60040;70040;80040;90040
20250040/8;51706;61706;71706;81706;91706
20250040/9;53372;63372;73372;83372;93372
20250040/10;55038;65038;75038;85038;95038
20250040/11;56704;66704;76704;86704;96704
20250040/12;58370;68370;78370;88370;98370
20250041/1;00041;10041;20041;30041;40041
20250041/2;01707;11707;21707;31707;41707
20250041/3;03373;13373;23373;33373;43373
20250041/4;05039;15039;25039;35039;45039
20250041/5;06705;16705;26705;36705;46705
20250041/6;08371;18371;28371;38371;48371
20250041/7;50041;60041;70041;80041;90041
20250041/8;51707;61707;71707;81707;91707
20250041/9;53373;63373;73373;83373;93373
20250041/10;55039;65039;75039;85039;95039
20250041/11;56705;66705;76705;86705;96705
20250041/12;58371;68371;78371;88371;98371
20250042/1;00042;10042;20042;30042;40042
20250042/2;01708;11708;21708;31708;41708
20250042/3;03374;13374;23374;33374;43374
20250042/4;05040;15040;25040;35040;45040
20250042/5;06706;16706;26706;36706;46706
20250042/6;08372;18372;28372;38372;48372
20250042/7;50042;60042;70042;80042;90042
20250042/8;51708;61708;71708;81708;91708
20250042/9;53374;63374;73374;83374;93374
20250042/10;55040;65040;75040;85040;95040
20250042/11;56706;66706;76706;86706;96706
20250042/12;58372;68372;78372;88372;98372
20250043/1;00043;10043;20043;30043;40043
20250043/2;01709;11709;21709;31709;41709
20250043/3;03375;13375;23375;33375;43375
20250043/4;05041;15041;25041;35041;45041
20250043/5;06707;16707;26707;36707;46707
20250043/6;08373;18373;28373;38373;48373
20250043/7;50043;60043;70043;80043;90043
20250043/8;51709;61709;71709;81709;91709
20250043/9;53375;63375;73375;83375;93375
20250043/10;55041;65041;75041;85041;95041
20250043/11;56707;66707;76707;86707;96707
20250043/12;58373;68373;78373;88373;98373
20250044/1;00044;10044;20044;30044;40044
20250044/2;01710;11710;21710;31710;41710
20250044/3;03376;13376;23376;33376;43376
20250044/4;05042;15042;25042;35042;45042
20250044/5;06708;16708;26708;36708;46708
20250044/6;08374;18374;28374;38374;48374
20250044/7;50044;60044;70044;80044;90044
20250044/8;51710;61710;71710;81710;91710
20250044/9;53376;63376;73376;83376;93376
20250044/10;55042;65042;75042;85042;95042
20250044/11;56708;66708;76708;86708;96708
20250044/12;58374;68374;78374;88374;98374
20250045/1;00045;10045;20045;30045;40045
20250045/2;01711;11711;21711;31711;41711
20250045/3;03377;13377;23377;33377;43377
20250045/4;05043;15043;25043;35043;45043
20250045/5;06709;16709;26709;36709;46709
20250045/6;08375;18375;28375;38375;48375
20250045/7;50045;60045;70045;80045;90045
20250045/8;51711;61711;71711;81711;91711
20250045/9;53377;63377;73377;83377;93377
20250045/10;55043;65043;75043;85043;95043
20250045/11;56709;66709;76709;86709;96709
20250045/12;58375;68375;78375;88375;98375
20250046/1;00046;10046;20046;30046;40046
20250046/2;01712;11712;21712;31712;41712
20250046/3;03378;13378;23378;33378;43378
20250046/4;05044;15044;25044;35044;45044
20250046/5;06710;16710;26710;36710;46710
20250046/6;08376;18376;28376;38376;48376
20250046/7;50046;60046;70046;80046;90046
20250046/8;51712;61712;71712;81712;91712
20250046/9;53378;63378;73378;83378;93378
20250046/10;55044;65044;75044;85044;95044
20250046/11;56710;66710;76710;86710;96710
20250046/12;58376;68376;78376;88376;98376
20250047/1;00047;10047;20047;30047;40047
20250047/2;01713;11713;21713;31713;41713
20250047/3;03379;13379;23379;33379;43379
20250047/4;05045;15045;25045;35045;45045
20250047/5;06711;16711;26711;36711;46711
20250047/6;08377;18377;28377;38377;48377
20250047/7;50047;60047;70047;80047;90047
20250047/8;51713;61713;71713;81713;91713
20250047/9;53379;63379;73379;83379;93379
20250047/10;55045;65045;75045;85045;95045
20250047/11;56711;66711;76711;86711;96711
20250047/12;58377;68377;78377;88377;98377
20250048/1;00048;10048;20048;30048;40048
20250048/2;01714;11714;21714;31714;41714
20250048/3;03380;13380;23380;33380;43380
20250048/4;05046;15046;25046;35046;45046
20250048/5;06712;16712;26712;36712;46712
20250048/6;08378;18378;28378;38378;48378
20250048/7;50048;60048;70048;80048;90048
20250048/8;51714;61714;71714;81714;91714
20250048/9;53380;63380;73380;83380;93380
20250048/10;55046;65046;75046;85046;95046
20250048/11;56712;66712;76712;86712;96712
20250048/12;58378;68378;78378;88378;98378
20250049/1;00049;10049;20049;30049;40049
20250049/2;01715;11715;21715;31715;41715
20250049/3;03381;13381;23381;33381;43381
20250049/4;05047;15047;25047;35047;45047
20250049/5;06713;16713;26713;36713;46713
20250049/6;08379;18379;28379;38379;48379
20250049/7;50049;60049;70049;80049;90049
20250049/8;51715;61715;71715;81715;91715
20250049/9;53381;63381;73381;83381;93381
20250049/10;55047;65047;75047;85047;95047
20250049/11;56713;66713;76713;86713;96713
20250049/12;58379;68379;78379;88379;98379
20250050/1;00050;10050;20050;30050;40050
20250050/2;01716;11716;21716;31716;41716
20250050/3;03382;13382;23382;33382;43382
20250050/4;05048;15048;25048;35048;45048
20250050/5;06714;16714;26714;36714;46714
20250050/6;08380;18380;28380;38380;48380
20250050/7;50050;60050;70050;80050;90050
20250050/8;51716;61716;71716;81716;91716
20250050/9;53382;63382;73382;83382;93382
20250050/10;55048;65048;75048;85048;95048
20250050/11;56714;66714;76714;86714;96714
20250050/12;58380;68380;78380;88380;98380
20250051/1;00051;10051;20051;30051;40051
20250051/2;01717;11717;21717;31717;41717
20250051/3;03383;13383;23383;33383;43383
20250051/4;05049;15049;25049;35049;45049
20250051/5;06715;16715;26715;36715;46715
20250051/6;08381;18381;28381;38381;48381
20250051/7;50051;60051;70051;80051;90051
20250051/8;51717;61717;71717;81717;91717
20250051/9;53383;63383;73383;83383;93383
20250051/10;55049;65049;75049;85049;95049
20250051/11;56715;66715;76715;86715;96715
20250051/12;58381;68381;78381;88381;98381
20250052/1;00052;10052;20052;30052;40052
20250052/2;01718;11718;21718;31718;41718
20250052/3;03384;13384;23384;33384;43384
20250052/4;05050;15050;25050;35050;45050
20250052/5;06716;16716;26716;36716;46716
20250052/6;08382;18382;28382;38382;48382
20250052/7;50052;60052;70052;80052;90052
20250052/8;51718;61718;71718;81718;91718
20250052/9;53384;63384;73384;83384;93384
20250052/10;55050;65050;75050;85050;95050
20250052/11;56716;66716;76716;86716;96716
20250052/12;58382;68382;78382;88382;98382
20250053/1;00053;10053;20053;30053;40053
20250053/2;01719;11719;21719;31719;41719
20250053/3;03385;13385;23385;33385;43385
20250053/4;05051;15051;25051;35051;45051
20250053/5;06717;16717;26717;36717;46717
20250053/6;08383;18383;28383;38383;48383
20250053/7;50053;60053;70053;80053;90053
20250053/8;51719;61719;71719;81719;91719
20250053/9;53385;63385;73385;83385;93385
20250053/10;55051;65051;75051;85051;95051
20250053/11;56717;66717;76717;86717;96717
20250053/12;58383;68383;78383;88383;98383
20250054/1;00054;10054;20054;30054;40054
20250054/2;01720;11720;21720;31720;41720
20250054/3;03386;13386;23386;33386;43386
20250054/4;05052;15052;25052;35052;45052
20250054/5;06718;16718;26718;36718;46718
20250054/6;08384;18384;28384;38384;48384
20250054/7;50054;60054;70054;80054;90054
20250054/8;51720;61720;71720;81720;91720
20250054/9;53386;63386;73386;83386;93386
20250054/10;55052;65052;75052;85052;95052
20250054/11;56718;66718;76718;86718;96718
20250054/12;58384;68384;78384;88384;98384
20250055/1;00055;10055;20055;30055;40055
20250055/2;01721;11721;21721;31721;41721
20250055/3;03387;13387;23387;33387;43387
20250055/4;05053;15053;25053;35053;45053
20250055/5;06719;16719;26719;36719;46719
20250055/6;08385;18385;28385;38385;48385
20250055/7;50055;60055;70055;80055;90055
20250055/8;51721;61721;71721;81721;91721
20250055/9;53387;63387;73387;83387;93387
20250055/10;55053;65053;75053;85053;95053
20250055/11;56719;66719;76719;86719;96719
20250055/12;58385;68385;78385;88385;98385
20250056/1;00056;10056;20056;30056;40056
20250056/2;01722;11722;21722;31722;41722
20250056/3;03388;13388;23388;33388;43388
20250056/4;05054;15054;25054;35054;45054
20250056/5;06720;16720;26720;36720;46720
